Site_name,Lat,Long,rvalue_1
Afareaitu,-17.56585,-149.78585,-1.37999999523163
Afareaitu,-17.56918333,-149.7840833,-8.9399995803833
Afareaitu,-17.56241667,-149.7898833,-1.8400000333786
Aroa,-17.47336667,-149.7772333,-1.0900000333786
Aroa,-17.47075,-149.7774,-5.94000005722046
Aroa,-17.47391667,-149.7769,-1.3400000333786
Entre_2_baies,-17.48028333,-149.8367667,-1.30999994277954
Entre_2_baies,-17.47553333,-149.8370333,-5.98000001907349
Entre_2_baies,-17.48405,-149.8365167,-1.92999994754791
Entre_2_Baies,-17.48028333,-149.8367667,-1.30999994277954
Entre_2_Baies,-17.48405,-149.8365167,-1.92999994754791
Gendron,-17.50016667,-149.92245,-1.30999994277954
Gendron,-17.4995,-149.9275667,-11.8000001907349
Gendron,-17.50096667,-149.9181333,-1.47000002861023
Haapiti,-17.55093333,-149.8962,-1.69000005722046
Haapiti,-17.55438333,-149.8977333,-8.07999992370605
Haapiti,-17.54628333,-149.8925833,-1.45000004768372
Maatea,-17.5923,-149.7957833,-1.77999997138977
Maatea,-17.5962,-149.7945,-6.73999977111816
Maatea,-17.59038333,-149.8011667,-3.25
Motu_Ahi,-17.54603333,-149.7718667,-1.69000005722046
Motu_Ahi,-17.54913333,-149.7706333,-12.9300003051758
Motu_Ahi,-17.54446667,-149.7755667,-3.39999995214436e+38
Nuarei,-17.49965,-149.7575833,-1.98000001907349
Nuarei,-17.50063333,-149.75465,-10.5900001525879
Nuarei,-17.49786667,-149.7582167,-1.22000002861023
Pihaena,-17.48263333,-149.82825,-1.10000002384186
Pihaena,-17.4766,-149.8290333,-8.1899995803833
Pihaena,-17.48455,-149.82795,-1.22000002861023
Taotaha,-17.5321,-149.9158333,-1.82000005245209
Taotaha,-17.53336667,-149.9188167,-13.6099996566772
Taotaha,-17.52985,-149.9107833,-1.22000002861023
Temae,-17.50575,-149.7617667,-1.60000002384186
Temae,-17.50675,-149.7599667,-10.210000038147
Temae,-17.50381667,-149.7659333,-0.589999973773956
Tetaiuo,-17.50898333,-149.9234,-1.36000001430511
Tetaiuo,-17.50521667,-149.9275333,-22.5499992370605
Tetaiuo,-17.50758333,-149.9188667,-1.1599999666214
Tiahura,-17.48475,-149.8996944,-0.980000019073486
Tiahura,-17.48283333,-149.8994444,-12.3299999237061
Tiahura,-17.4889444,-149.8995278,-0.959999978542328
Tiahura,-17.48575,-149.8997,-1.1599999666214
Tiahura,-17.483,-149.89975,-5.01999998092651
Tiahura,-17.4891,-149.9000833,-2.01999998092651
